Id,school_raw,school_short,purpose,차수,n_samples,length_m,sinuosity,slope_mean,slope_max,slope_pct_over_5deg,slope_pct_over_10deg,elevation_gain_m,dem_min_m,dem_max_m
3,산흥초등학교,산흥초,하교,1,135,1347.5580518348943,1.1554298129856266,2.3110201358795166,8.133575439453125,6.666666666666667,0.0,5.230682373046875,162.68911743164062,177.20944213867188
5,산흥초등학교,산흥초,하교,1,408,4070.88401143723,1.0888178777025306,8.941400527954102,45.548316955566406,50.245098039215684,30.88235294117647,166.56893920898438,110.42752838134766,210.04966735839844
6,산흥초등학교,산흥초,하교,1,432,4318.1843144251,1.4235958608585748,2.3323404788970947,13.613476753234863,11.11111111111111,2.314814814814815,30.49994659423828,82.85031127929688,112.19005584716797
7,산흥초등학교,산흥초,하교,1,163,1629.569180461506,1.5417787807522871,1.5221688747406006,4.906279563903809,0.0,0.0,5.866371154785156,78.9132080078125,88.9178466796875
8,산흥초등학교,산흥초,하교,1,21,204.83403221482067,1.0006800918305159,1.6269724369049072,3.647761344909668,0.0,0.0,3.0786972045898438,79.2929916381836,82.37168884277344
9,산흥초등학교,산흥초,하교,1,53,526.3148291291974,1.1328687565264182,1.4002673625946045,3.179401397705078,0.0,0.0,7.303955078125,82.37168884277344,89.55486297607422
10,산흥초등학교,산흥초,하교,1,179,1783.5522739269609,1.2146281809855228,1.4559468030929565,5.67549991607666,0.5586592178770949,0.0,4.070274353027344,75.4396743774414,89.595703125
11,산흥초등학교,산흥초,하교,1,71,705.9136409503191,1.0859310158311253,1.1868221759796143,3.21891450881958,0.0,0.0,0.40154266357421875,70.03788757324219,75.9300765991211
12,산흥초등학교,산흥초,하교,1,70,690.5755539538194,1.3421318615089606,1.6116360425949097,3.161363363265991,0.0,0.0,5.2476959228515625,68.65567779541016,71.90414428710938
1,계산초등학교,계산초,등교,1,267,2660.336056080103,2.3128062941282863,2.344144105911255,22.47852897644043,8.614232209737828,3.3707865168539324,36.964759826660156,71.22041320800781,99.14289855957031
2,계산초등학교,계산초,등교,1,267,2660.336056080103,2.3128062941282863,2.344144105911255,22.47852897644043,8.614232209737828,3.3707865168539324,36.964759826660156,71.22041320800781,99.14289855957031
1,계산초등학교,계산초,등교,2,267,2660.336056080103,2.3128062941282863,2.344144105911255,22.47852897644043,8.614232209737828,3.3707865168539324,36.964759826660156,71.22041320800781,99.14289855957031
2,계산초등학교,계산초,등교,2,267,2660.336056080103,2.3128062941282863,2.344144105911255,22.47852897644043,8.614232209737828,3.3707865168539324,36.964759826660156,71.22041320800781,99.14289855957031
1,계산초등학교,계산초,하교,3,267,2660.336056080103,2.3128062941282863,2.344144105911255,22.47852897644043,8.614232209737828,3.3707865168539324,36.964759826660156,71.22041320800781,99.14289855957031
2,계산초등학교,계산초,하교,3,267,2660.336056080103,2.3128062941282863,2.344144105911255,22.47852897644043,8.614232209737828,3.3707865168539324,36.964759826660156,71.22041320800781,99.14289855957031
1,계산초등학교,계산초,하교,4,267,2660.336056080103,2.3128062941282863,2.344144105911255,22.47852897644043,8.614232209737828,3.3707865168539324,36.964759826660156,71.22041320800781,99.14289855957031
2,계산초등학교,계산초,하교,4,267,2660.336056080103,2.3128062941282863,2.344144105911255,22.47852897644043,8.614232209737828,3.3707865168539324,36.964759826660156,71.22041320800781,99.14289855957031
1,계산초등학교,계산초,하교,5,267,2660.336056080103,2.3128062941282863,2.344144105911255,22.47852897644043,8.614232209737828,3.3707865168539324,36.964759826660156,71.22041320800781,99.14289855957031
2,계산초등학교,계산초,하교,5,267,2660.336056080103,2.3128062941282863,2.344144105911255,22.47852897644043,8.614232209737828,3.3707865168539324,36.964759826660156,71.22041320800781,99.14289855957031
1,계산초등학교,계산초,하교,6,267,2660.336056080103,2.3128062941282863,2.344144105911255,22.47852897644043,8.614232209737828,3.3707865168539324,36.964759826660156,71.22041320800781,99.14289855957031
2,계산초등학교,계산초,하교,6,267,2660.336056080103,2.3128062941282863,2.344144105911255,22.47852897644043,8.614232209737828,3.3707865168539324,36.964759826660156,71.22041320800781,99.14289855957031
1,구즉초등학교,구즉초,등교,1,602,5992.346955553156,1.2864110029245774,5.637268543243408,18.746036529541016,50.498338870431894,13.455149501661129,110.3252182006836,29.202165603637695,89.19440460205078
2,구즉초등학교,구즉초,등교,1,602,5992.346955553156,1.2864110029245774,5.637268543243408,18.746036529541016,50.498338870431894,13.455149501661129,110.3252182006836,29.202165603637695,89.19440460205078
2,구즉초등학교,구즉초,하교,1,602,5992.346955553156,1.2864110029245774,5.637268543243408,18.746036529541016,50.498338870431894,13.455149501661129,110.3252182006836,29.202165603637695,89.19440460205078
1,구즉초등학교,구즉초,하교,1,602,5992.346955553156,1.2864110029245774,5.637268543243408,18.746036529541016,50.498338870431894,13.455149501661129,110.3252182006836,29.202165603637695,89.19440460205078
2,구즉초등학교,구즉초,하교,1,602,5992.346955553156,1.2864110029245774,5.637268543243408,18.746036529541016,50.498338870431894,13.455149501661129,110.3252182006836,29.202165603637695,89.19440460205078
