연번,구분,구,구역명,유형,주소,면적_m2,세대수,추진현황,추진일자,촉진지구,추진지구,비고,상태,단계_순서,통학영향_임박도,전체주소,lat,lon,지오코딩방식,오류
61,재개발,서구,도마·변동13,,도마동 317-139,178571.0,2603.0,사업시행인가,26.02.05.,True,도마·변동,,진행,5,3_사업시행,대전광역시 서구 도마동 317-139,36.31334381544719,127.36985482943118,parcel,
62,재개발,서구,도마·변동16,,도마동 68-1,125230.0,1962.0,조합설립인가,24.02.14.,True,도마·변동,,진행,4,4_조합설립,대전광역시 서구 도마동 68-1,36.32138201823705,127.37677399500885,parcel,
63,재개발,서구,복수동2,,복수동 283-256,61647.4,890.0,관리처분인가,25.11.19.,False,,,진행,6,2_관리처분,대전광역시 서구 복수동 283-256,36.31013426876961,127.37613808400772,parcel,
64,재개발,서구,변동A,,변동 28-41,162777.4,2913.0,조합설립인가,24.10.25.,False,,,진행,4,4_조합설립,대전광역시 서구 변동 28-41,36.32798974757288,127.37806181682251,parcel,
65,재개발,서구,내동1,,내동 27-3,36661.0,631.0,구역지정,26.01.08.,False,,,진행,2,5_초기,대전광역시 서구 내동 27-3,36.33152036948202,127.3734220668609,parcel,
66,재개발,서구,내동2,,내동 39-1,122768.0,1943.0,조합설립인가,26.03.23.,False,,,진행,4,4_조합설립,대전광역시 서구 내동 39-1,36.33432345714266,127.37736383949654,parcel,
67,재개발,서구,정림동1,,정림동 16-34,25916.0,549.0,추진위원회,25.12.09.,False,,,진행,3,5_초기,대전광역시 서구 정림동 16-34,36.307748830748764,127.36807132654607,parcel,
68,재개발,유성구,장대A,,장대동 265-1,58710.0,945.0,추진위원회,22.12.08.,True,유성시장,,진행,3,5_초기,대전광역시 유성구 장대동 265-1,36.35967443893168,127.33243062329092,parcel,
69,재개발,유성구,장대B,,장대동 14-5,97028.0,2703.0,관리처분인가,25.08.07.,True,유성시장,,진행,6,2_관리처분,대전광역시 유성구 장대동 14-5,36.35770375770799,127.33590440645943,parcel,
70,재개발,유성구,장대C,,장대동 283-10,47066.0,1439.0,구역지정,22.05.26.,True,유성시장,,진행,2,5_초기,대전광역시 유성구 장대동 283-10,36.35800329325312,127.33697721970807,parcel,
71,재개발,대덕구,대화동1,,대화동 16-155,83301.0,1660.0,관리처분인가,24.04.08.,False,,,진행,6,2_관리처분,대전광역시 대덕구 대화동 16-155,36.36491006420478,127.4174796350934,parcel,
72,재개발,대덕구,대화동2,,대화동 241-11,57936.0,1375.0,사업시행인가,20.06.01.,False,,,진행,5,3_사업시행,대전광역시 대덕구 대화동 241-11,36.36451234910293,127.41211980040538,parcel,
73,재개발,대덕구,대화동3,,대화동 35-370,92628.0,1593.0,추진위원회,25.10.30.,False,,,진행,3,5_초기,대전광역시 대덕구 대화동 35-370,36.36516856544247,127.41413473680302,parcel,
74,재개발,대덕구,대화동4,,대화동 16-156,42771.0,851.0,조합설립인가,24.07.12.,False,,,진행,4,4_조합설립,대전광역시 대덕구 대화동 16-156,36.3664952525029,127.41748416368438,parcel,
75,재개발,대덕구,오정동1,,오정동 172-3,16697.0,,,,False,,,진행,0,9_미정,대전광역시 대덕구 오정동 172-3,36.35138595586888,127.4207683044239,parcel,
76,재개발,대덕구,덕암동1,,덕암동 2-2,39882.0,734.0,추진위원회,24.06.20.,False,,,진행,3,5_초기,대전광역시 대덕구 덕암동 2-2,36.447015040687546,127.42089366737929,parcel,
1,재개발_생활권,동구,가양동3,,가양동 84-10,81801.0,1470.0,입안제안,,False,,,진행,1,6_입안,대전광역시 동구 가양동 84-10,36.3481026059459,127.44802493058289,parcel,
2,재개발_생활권,동구,가양동8,,가양동 43-1,119872.0,1929.0,입안제안,,False,,,진행,1,6_입안,대전광역시 동구 가양동 43-1,36.35163081961424,127.45033875978757,parcel,
3,재개발_생활권,동구,홍도동3,,홍도동 64-2,41410.0,806.0,입안제안,,False,,전 홍도1,진행,1,6_입안,대전광역시 동구 홍도동 64-2,36.34583384628412,127.42938346961762,parcel,
4,재개발_생활권,중구,산성동3,,산성동 158-7,85195.0,1607.0,입안제안,,False,,,진행,1,6_입안,대전광역시 중구 산성동 158-7,36.30973841193486,127.38880567540943,parcel,
5,재개발_생활권,중구,유천동2,,유천동 275-5,91208.0,1602.0,입안제안,,False,,,진행,1,6_입안,대전광역시 중구 유천동 275-5,36.31284815315122,127.39617522801112,parcel,
6,재개발_생활권,중구,옥계동3,,옥계동 23-3,123330.0,1848.0,입안제안,,False,,,진행,1,6_입안,대전광역시 중구 옥계동 23-3,36.3012237493067,127.4506272556916,parcel,
7,재개발_생활권,중구,옥계동4,,옥계동 13-3,41588.0,728.0,입안제안,,False,,,진행,1,6_입안,대전광역시 중구 옥계동 13-3,36.30099548557692,127.45349020063719,parcel,
8,재개발_생활권,중구,문화동10,,문화동 501-3,71627.0,1045.0,입안제안,,False,,,진행,1,6_입안,대전광역시 중구 문화동 501-3,36.30766723467539,127.40527220077077,parcel,
