학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동,최근접_사업,최근접_거리m,영향권
초,공립,중구,대전석교초등학교,대전광역시 중구 대종로204번길 12(석교동.대전석교초등학교),본교,163,127.4462254,36.3086634,석교동,석교동,200.3522427893083,1km 이내
초,공립,중구,대전선화초등학교,대전광역시 중구 선화로 159(선화동. 대전선화초등학교),본교,701,127.4234663,36.3326733,은행선화동,은행1,139.25622992563657,1km 이내
초,공립,중구,대전신평초등학교,대전광역시 중구 유등천동로 478. 대전신평초등학교 (태평동.대전신평초등학교),본교,314,127.3897213,36.3234302,태평2동,태평동7,190.7501830455016,1km 이내
초,공립,중구,대전오류초등학교,대전광역시 중구 오류로 46(오류동),본교,249,127.4047562,36.3249660,오류동,오류동1,171.37514905541116,1km 이내
초,공립,중구,대전옥계초등학교,대전광역시 중구 모암로 35. 대전옥계초등학교 (옥계동. 대전옥계초등학교),본교,109,127.4483618,36.3009946,석교동,옥계동3,204.9831183949042,1km 이내
초,공립,중구,대전원평초등학교,대전광역시 중구 계백로1615번길 46. 대전원평초등학교 (유천동),본교,257,127.3999032,36.3216702,유천2동,태평동3,233.49616149064002,1km 이내
초,공립,중구,대전유평초등학교,대전광역시 중구 수침로 123(태평동),본교,215,127.3974668,36.3300035,태평1동,태평동5,201.2800949800895,1km 이내
초,공립,중구,대전중앙초등학교,대전광역시 중구 선화로43번길 99(선화동. 대전중앙초등학교),본교,1082,127.4141355,36.3307172,은행선화동,용두동3,377.75393100834464,1km 이내
초,공립,중구,대전중촌초등학교,대전광역시 중구 대종로 684(중촌동.대전중촌초등학교),본교,262,127.4110600,36.3412467,중촌동,중촌시영,181.46150302766256,1km 이내
초,공립,중구,대전태평초등학교,대전광역시 중구 유천로 117(태평동. 대전태평초등학교),본교,415,127.3950265,36.3229254,태평2동,태평동6,163.23314082106086,1km 이내
초,공립,중구,산서초등학교,대전광역시 중구 남달미로 87(목달동. 산서초등학교),본교,57,127.4093374,36.2668849,산성동,문화동10,4538.284394431767,1.5km 초과
초,공립,중구,서대전초등학교,대전광역시 중구 선화로 17(용두동.서대전초등학교),본교,214,127.4104400,36.3259585,용두동,용두동3,263.48137150103787,1km 이내
초,사립,중구,대전성모초등학교,대전광역시 중구 대흥로 62(대흥동. 대전성모초등학교),본교,658,127.4193093,36.3224600,대흥동,대흥동1,603.2185064199789,1km 이내
초,공립,서구,가수원초등학교,대전광역시 서구 벌곡로 1359(가수원동. 가수원초등학교),본교,258,127.3533137,36.3031409,가수원동,정림동1,1420.092316098372,1~1.5km
초,공립,서구,기성초등학교,대전광역시 서구 기성초교길 42(매노동),본교,33,127.3380289,36.2487568,기성동,정림동1,7077.843471450976,1.5km 초과
초,공립,서구,기성초등학교길헌분교장,대전광역시 서구 당고개길 48(평촌동. 기성초등학교 길헌분교장),분교장,7,127.3164705,36.2417680,기성동,정림동1,8662.578061985647,1.5km 초과
초,공립,서구,대전가장초등학교,대전광역시 서구 가장로 150(가장동. 대전가장초등학교),본교,493,127.3887528,36.3305000,가장동,가장동1,108.01606401351415,1km 이내
초,공립,서구,대전갈마초등학교,대전광역시 서구 월평동로 2(갈마동. 갈마초등학교),본교,233,127.3693227,36.3559583,갈마1동,내동2,2505.8947599289204,1.5km 초과
초,공립,서구,대전갑천초등학교,대전광역시 서구 월평동로 61(월평동. 대전갑천초등학교),본교,426,127.3676786,36.3608614,월평3동,도룡동2,2536.7977975130784,1.5km 초과
초,공립,서구,대전관저초등학교,대전광역시 서구 관저동로 161(관저동. 관저초등학교),본교,331,127.3398901,36.3065734,관저1동,정림동1,2533.3835212543745,1.5km 초과
초,공립,서구,대전구봉초등학교,대전광역시 서구 관저로 75대전구봉초등학교,본교,586,127.3301054,36.2997236,관저2동,정림동1,3522.933369893157,1.5km 초과
초,공립,서구,대전금동초등학교,대전광역시 서구 관저로 45(관저동.대전금동초등학교),본교,672,127.3262661,36.2981969,관저2동,정림동1,3900.023790363752,1.5km 초과
초,공립,서구,대전내동초등학교,대전광역시 서구 동서대로1063번길 13(내동.내동초등학교),본교,705,127.3792468,36.3311179,내동,변동A,362.91113115605924,1km 이내
초,공립,서구,대전느리울초등학교,대전광역시 서구 관저로 196(관저동. 대전느리울초등학교),본교,591,127.3439214,36.2985384,관저2동,정림동1,2396.8507358254196,1.5km 초과
초,공립,서구,대전도마초등학교,대전광역시 서구 배재로172번길 23(도마동.도마초등학교),본교,451,127.3719168,36.3242933,도마1동,도마동1,114.45341600266913,1km 이내
초,공립,서구,대전도솔초등학교,대전광역시 서구 원도안로 80. 대전도솔초등학교 (도안동),본교,1141,127.3475014,36.3111845,도안동,정림동1,1885.5636961766877,1.5km 초과
초,공립,서구,대전도안초등학교,대전광역시 서구 원도안로 200(도안동. 도안초등학교),본교,934,127.3446850,36.3217137,도안동,도마동1,2434.9641454513076,1.5km 초과
초,공립,서구,대전둔산초등학교,대전광역시 서구 둔산로74번길 20(둔산동.둔산초등학교),본교,407,127.3814036,36.3499471,둔산2동,내동2,1770.502485039349,1.5km 초과
초,공립,서구,대전둔원초등학교,대전광역시 서구 대덕대로 112-10(갈마동),본교,540,127.3742794,36.3436193,,내동2,1067.6118747674386,1~1.5km
초,공립,서구,대전둔천초등학교,대전광역시 서구 만년로 3. 대전둔천초등학교 (만년동),본교,194,127.3740023,36.3684922,만년동,도룡동2,1581.9105215337809,1.5km 초과
초,공립,서구,대전만년초등학교,대전광역시 서구 만년남로 14(만년동. 만년초등학교),본교,159,127.3773117,36.3671306,만년동,도룡동2,1720.6831695652654,1.5km 초과
초,공립,서구,대전문정초등학교,대전광역시 서구 문정로 180. 문정초등학교 (둔산동),본교,460,127.3958379,36.3505437,둔산3동,용문동4,1042.977080898721,1~1.5km
초,공립,서구,대전백운초등학교,대전광역시 서구 계룡로576번길 56(괴정동. 대전백운초등학교),본교,664,127.3850093,36.3405387,괴정동,내동2,972.6436410155972,1km 이내
초,공립,서구,대전변동초등학교,대전광역시 서구 유등로 373(변동) 대전변동초등학교,본교,152,127.3857104,36.3250319,변동,도마·변동2,190.6917781986028,1km 이내
초,공립,서구,대전복수초등학교,대전광역시 서구 복수중로34번길 29(복수동.대전복수초등학교),본교,702,127.3768451,36.3082137,복수동,복수동2,222.2851796090205,1km 이내
초,공립,서구,대전봉산초등학교,대전광역시 서구 신갈마로141번길 45. 대전봉산초등학교 (갈마동),본교,368,127.3659116,36.3451704,갈마1동,내동2,1582.3365340158873,1.5km 초과
초,공립,서구,대전삼천초등학교,대전광역시 서구 둔산북로 232-33. 대전삼천초등학교 (둔산동),본교,631,127.4012153,36.3539594,둔산3동,용문동4,1350.7992429901196,1~1.5km
초,공립,서구,대전샘머리초등학교,대전광역시 서구 유등로 879(둔산동),본교,700,127.3933215,36.3632745,둔산2동,대화동2,1692.0101597072876,1.5km 초과
초,공립,서구,대전서부초등학교,대전광역시 서구 동서대로 968(변동),본교,404,127.3690371,36.3333627,변동,내동1,443.4359443221561,1km 이내
초,공립,서구,대전서원초등학교,대전광역시 서구 문정로 279(둔산동. 서원초등학교),본교,585,127.3943323,36.3593773,둔산2동,대화동2,1694.3942673058746,1.5km 초과
초,공립,서구,대전선암초등학교,대전광역시 서구 관저중로 61(관저동),본교,401,127.3340098,36.2975283,관저2동,정림동1,3261.4859238182817,1.5km 초과
초,공립,서구,대전선유초등학교,대전광역시 서구 관저남로 60(관저동),본교,835,127.3412350,36.2949457,관저2동,정림동1,2796.83446806398,1.5km 초과
초,공립,서구,대전성룡초등학교,대전광역시 서구 갈마역로 125(월평동. 성룡초등학교),본교,854,127.3735199,36.3619376,월평3동,도룡동2,2308.832757820034,1.5km 초과
초,공립,서구,대전성천초등학교,대전광역시 서구 갈마역로 139(월평동. 성천초등학교),본교,29,127.3734766,36.3631631,월평2동,도룡동2,2174.247030141954,1.5km 초과
초,공립,서구,대전수미초등학교,대전광역시 서구 괴곡길 42(괴곡동. 대전수미초등학교),본교,61,127.3615389,36.2953352,정림동,정림동1,1496.63262084268,1~1.5km
초,공립,서구,대전신계초등학교,대전광역시 서구 복수동로 26(복수동. 신계초등학교),본교,617,127.3778077,36.3019821,복수동,복수동2,916.5821230700714,1km 이내
초,공립,서구,대전원앙초등학교,대전광역시 서구 관저북로 97. 대전원앙초등학교 (관저동),본교,224,127.3378000,36.3114556,관저1동,정림동1,2748.51168062567,1.5km 초과
초,공립,서구,대전월평초등학교,대전광역시 서구 월평서로 22(월평동.월평초등학교),본교,110,127.3581040,36.3557995,월평1동,장대C,1911.191623433192,1.5km 초과
초,공립,서구,대전유천초등학교,대전광역시 서구 제비네6길 69(도마동),본교,485,127.3754395,36.3141096,도마2동,도마·변동12,143.41758597863358,1km 이내
초,공립,서구,대전정림초등학교,대전광역시 서구 정림로 32(정림동)대전정림초등학교,본교,444,127.3665373,36.3036623,정림동,정림동1,473.740767044916,1km 이내
초,공립,서구,대전탄방초등학교,대전광역시 서구 탄방로 15(탄방동. 대전탄방초등학교),본교,602,127.3911856,36.3456534,탄방동,용문동1·2·3,860.3533159904994,1km 이내
초,공립,서구,대전탄방초등학교용문분교장,대전광역시 서구 도솔로 500,분교장,493,127.3975163,36.3409359,용문동,용문동1·2·3,104.84408536631156,1km 이내
초,공립,서구,대전호수초등학교,대전광역시 서구 도안동로 182-20(도안동),본교,897,127.3502082,36.3204731,도안동,도마·변동13,1932.7730833420046,1.5km 초과
초,공립,서구,한밭초등학교,대전광역시 서구 문정로 221(둔산동),본교,1604,127.3941584,36.3545007,둔산1동,용문동4,1506.6489797668278,1.5km 초과
초,사립,서구,대전삼육초등학교,대전광역시 서구 도림1길 15. 대전삼육초등학교 (도마동),본교,511,127.3727877,36.3115181,도마2동,도마·변동12,256.30496783049057,1km 이내
초,공립,유성구,구즉초등학교,대전광역시 유성구 구룡달전로 34(봉산동),본교,418,127.3822122,36.4407059,구즉동,덕암동1,3536.565194868779,1.5km 초과
초,공립,유성구,금성초등학교,대전광역시 유성구 신성로72번길 5(신성동. 금성초등학교),본교,338,127.3500818,36.3893002,신성동,도룡동2,2471.3047868108856,1.5km 초과
초,공립,유성구,남선초등학교,대전광역시 유성구 계백로93번길 277-29(송정동. 남선초등학교),본교,44,127.2646541,36.2873073,진잠동,정림동1,9558.46248761252,1.5km 초과
초,공립,유성구,대덕초등학교,대전광역시 유성구 대덕대로556번길 102(도룡동),본교,641,127.3817273,36.3850882,신성동,도룡동2,552.7132746672427,1km 이내
초,공립,유성구,대덕초등학교도룡분교장,대전광역시 유성구 엑스포로97번길 100(도룡동),분교장,60,127.3913403,36.3787207,신성동,도룡동2,1410.7616985229283,1~1.5km
초,공립,유성구,대전계산초등학교,대전광역시 유성구 학하서로 74(계산동),본교,708,127.2993032,36.3438972,학하동,장대A,3449.307479769773,1.5km 초과
초,공립,유성구,대전관평초등학교,대전광역시 유성구 테크노4로 132(관평동),본교,414,127.3876376,36.4245116,관평동,덕암동1,3887.8544108313704,1.5km 초과
초,공립,유성구,대전교촌초등학교,대전광역시 유성구 진잠로149번길 42(교촌동.대전교촌초등학교),본교,279,127.3167901,36.3060020,진잠동,정림동1,4607.969242594512,1.5km 초과
초,공립,유성구,대전노은초등학교,대전광역시 유성구 노은동로99번길 35. 대전노은초등학교 (노은동.노은초등학교),본교,686,127.3212215,36.3689340,노은1동,장대A,1437.3980280005842,1~1.5km
초,공립,유성구,대전대정초등학교,대전광역시 유성구 대정로28번길 55   대전대정초등학교(대정동),본교,260,127.3232795,36.3152767,진잠동,정림동1,4106.834986956222,1.5km 초과
초,공립,유성구,대전동화초등학교,대전광역시 유성구 관평2로 43(관평동. 대전동화초등학교),본교,688,127.3895368,36.4226468,관평동,신대주공,3842.467419944969,1.5km 초과
초,공립,유성구,대전두리초등학교,대전광역시 유성구 와룡로 37(송강동) 대전두리초등학교,본교,491,127.3820834,36.4288090,구즉동,덕암동1,4022.162041198942,1.5km 초과
초,공립,유성구,대전둔곡초등학교,대전광역시 유성구 과학인재4길 10(둔곡동),본교,428,127.3646634,36.4534382,구즉동,덕암동1,5089.064042468478,1.5km 초과
초,공립,유성구,대전반석초등학교,대전광역시 유성구 반석동로 30(반석동.대전반석초등학교),본교,1030,127.3131023,36.3899585,노은3동,장대A,3780.192425923206,1.5km 초과
초,공립,유성구,대전배울초등학교,대전광역시 유성구 배울2로 8(관평동. 대전배울초등학교),본교,568,127.3841009,36.4218889,관평동,신대주공,4170.55361000187,1.5km 초과
초,공립,유성구,대전복용초등학교,대전광역시 유성구 상대복용로65번길 36(복용동),본교,802,127.3276981,36.3350119,상대동,장대B,2622.5155182047492,1.5km 초과
초,공립,유성구,대전봉명초등학교,대전광역시 유성구 계룡로132번길 62(봉명동),본교,684,127.3434709,36.3496096,원신흥동,장대C,1098.3176642020399,1~1.5km
초,공립,유성구,대전상대초등학교,대전광역시 유성구 월드컵대로 322(상대동. 상대초등학교),본교,634,127.3365151,36.3474262,상대동,장대B,1141.3177877166581,1~1.5km
초,공립,유성구,대전상원초등학교,대전광역시 유성구 상대서로 46. 대전상원초등학교 (상대동),본교,746,127.3333047,36.3424244,상대동,장대B,1710.7855817835264,1.5km 초과
초,공립,유성구,대전상지초등학교,대전광역시 유성구 노은동로 165(지족동.대전상지초등학교),본교,466,127.3221130,36.3753649,노은1동,장대A,1971.2237407475989,1.5km 초과
초,공립,유성구,대전새미래초등학교,대전광역시 유성구 지족로 168(지족동. 대전새미래초등학교),본교,948,127.3031653,36.3792934,노은3동,장대A,3409.9462181835897,1.5km 초과
