학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동,slope_point,slope_300m_mean,slope_300m_max,운영상태,도심거리_km,학교밀도_2km,y_운영12
초,공립,서구,대전변동초등학교,대전광역시 서구 유등로 373(변동) 대전변동초등학교,본교,152,127.3857104,36.3250319,변동,0.7649229764938354,1.95647394657135,17.707687377929688,미운영,2.8159516685741717,15,0
초,공립,서구,대전복수초등학교,대전광역시 서구 복수중로34번길 29(복수동.대전복수초등학교),본교,702,127.3768451,36.3082137,복수동,3.927970170974731,6.699957847595215,36.27693176269531,미운영,4.729509791415899,11,0
초,공립,서구,대전봉산초등학교,대전광역시 서구 신갈마로141번길 45. 대전봉산초등학교 (갈마동),본교,368,127.3659116,36.3451704,갈마1동,4.523696899414063,8.862167358398438,41.105316162109375,미운영,1.765933994834693,9,0
초,공립,서구,대전삼천초등학교,대전광역시 서구 둔산북로 232-33. 대전삼천초등학교 (둔산동),본교,631,127.4012153,36.3539594,둔산3동,2.210742235183716,2.043902635574341,21.72420692443848,미운영,1.5508813856528396,13,0
초,공립,서구,대전샘머리초등학교,대전광역시 서구 유등로 879(둔산동),본교,700,127.3933215,36.3632745,둔산2동,0.3648235201835632,1.779557704925537,19.491249084472656,미운영,1.6327166960555346,13,0
초,공립,서구,대전서부초등학교,대전광역시 서구 동서대로 968(변동),본교,404,127.3690371,36.3333627,변동,0.9223247170448304,7.07689905166626,38.88054275512695,미운영,2.3445159571569345,7,0
초,공립,서구,대전서원초등학교,대전광역시 서구 문정로 279(둔산동. 서원초등학교),본교,585,127.3943323,36.3593773,둔산2동,2.702812433242798,1.2471095323562622,10.008379936218262,미운영,1.3303382168460212,11,0
초,공립,서구,대전선암초등학교,대전광역시 서구 관저중로 61(관저동),본교,401,127.3340098,36.2975283,관저2동,3.407045841217041,2.2979776859283447,20.30079460144043,미운영,7.411559556631452,10,0
초,공립,서구,대전선유초등학교,대전광역시 서구 관저남로 60(관저동),본교,835,127.341235,36.2949457,관저2동,1.487363576889038,3.4359030723571777,27.22631454467773,미운영,7.274358262752018,9,0
초,공립,서구,대전성룡초등학교,대전광역시 서구 갈마역로 125(월평동. 성룡초등학교),본교,854,127.3735199,36.3619376,월평3동,0.4800870716571808,1.0704301595687866,7.8869948387146,미운영,1.6150259634931516,11,0
